Year,Country,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Latvia,Lithuania,Macedonia,Malta,Moldova,Monaco,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Serbia & Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
2009,Lithuania,0,0,0,,1,0,0,0,1,0,0,0,1,2,0,0,,0,0,0,0,7,0,7,,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,4
2009,Israel,0,7,0,,0,0,8,8,0,0,0,4,0,5,0,10,,0,0,0,0,0,,0,0,0,0,0,,4,0,0,0,0,0,0,,0,,5,0,0,0,1,0,1,0
2009,France,2,3,6,,0,7,1,6,0,0,0,0,2,0,4,,,3,6,0,6,3,5,5,6,0,0,0,,1,6,1,0,0,0,10,,3,,0,7,3,0,7,0,3,1
2009,Sweden,1,2,0,,0,0,0,0,0,0,0,0,4,6,7,2,,0,0,0,3,0,0,0,0,0,4,0,,0,0,4,0,0,0,0,,0,,0,0,0,,0,0,0,0
2009,Croatia,0,0,0,,5,0,0,12,0,,0,0,0,0,0,0,,0,2,0,1,0,0,0,0,4,0,2,,8,0,0,0,0,0,0,,5,,0,6,0,0,0,0,0,0
2009,Portugal,0,6,0,,0,0,6,1,0,0,0,7,0,3,0,7,,0,0,0,7,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,2,0,8,0,10,0,0,0
2009,Iceland,6,8,5,,0,2,0,0,5,2,5,2,10,8,10,0,,7,4,7,,12,10,8,8,2,12,3,,5,7,12,1,8,10,3,,0,,6,5,0,10,5,2,0,8
2009,Greece,12,0,10,,0,5,5,5,12,7,12,0,0,0,0,0,,6,,4,0,0,0,0,0,0,7,0,,2,1,0,0,0,8,4,,6,,0,4,1,2,2,0,0,5
2009,Armenia,0,0,,,0,1,7,0,6,0,4,12,0,0,1,6,,0,0,0,5,0,8,0,0,1,0,0,,0,5,0,2,4,7,5,,0,,3,0,4,3,0,6,2,0
2009,Russia,0,0,12,,6,8,0,0,0,0,1,8,0,10,0,0,,5,0,0,0,0,7,6,7,0,0,6,,0,0,0,3,0,0,,,0,,0,0,0,0,0,4,8,0
2009,Azerbaijan,4,0,1,,,10,3,3,8,10,8,10,8,7,2,1,,0,8,10,0,0,6,4,5,3,1,10,,6,10,10,6,0,4,7,,4,,4,1,0,8,0,12,10,3
2009,Bosnia and Herzegovina,5,0,0,,2,0,0,,4,12,0,0,0,0,6,0,,2,0,0,2,0,0,0,0,10,0,0,,12,4,0,0,0,0,0,,12,,8,10,0,5,4,8,0,0
2009,Moldova,0,0,2,,7,0,4,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,0,0,3,5,12,12,1,,0,,0,0,5,0,0,7,7,0
2009,Malta,0,1,0,,0,0,0,0,0,0,0,0,0,0,3,0,,4,0,0,0,5,0,1,1,0,,0,,0,0,0,0,0,3,0,,7,,0,0,0,0,0,0,0,6
2009,Estonia,0,0,0,,4,4,0,0,0,6,3,0,5,,12,0,,1,5,6,10,6,0,10,10,0,0,7,,0,0,0,8,0,1,8,,0,,12,0,0,7,0,0,4,0
2009,Denmark,0,5,0,,0,0,0,0,0,0,6,0,,0,0,5,,0,0,3,4,4,0,3,2,0,6,5,,0,0,8,7,0,2,0,,1,,0,8,0,0,0,0,5,0
2009,Germany,3,0,0,,0,0,2,2,0,0,0,0,7,0,0,3,,,0,0,0,1,0,0,0,0,0,0,,0,2,6,0,1,0,0,,0,,0,0,0,0,0,1,0,7
2009,Turkey,10,0,4,,12,0,12,7,10,1,0,1,6,0,5,12,,10,3,5,0,0,3,0,0,12,5,0,,3,8,7,0,3,6,0,,0,,0,0,2,6,12,,0,12
2009,Albania,,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,,0,7,2,0,0,0,0,0,7,0,0,,7,0,0,0,0,0,0,,0,,0,2,0,1,6,10,0,0
2009,Norway,7,10,8,,8,12,10,10,2,8,10,3,12,12,8,8,,12,10,12,12,8,12,12,12,8,8,8,,10,12,,12,5,5,12,,10,,10,12,12,12,8,3,12,10
2009,Ukraine,0,0,3,,10,6,0,0,0,0,0,5,0,0,0,0,,0,0,8,0,0,2,0,4,0,2,4,,0,0,5,10,6,0,2,,0,,1,0,6,0,0,0,,2
2009,Romania,0,0,0,,3,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,2,0,0,0,5,0,12,,0,0,0,0,2,,0,,2,,0,0,7,0,0,5,0,0
2009,United Kingdom,8,4,7,,0,3,0,4,7,4,7,6,3,0,0,4,,8,12,1,0,10,4,2,3,6,10,1,,0,3,2,4,10,0,6,,8,,7,3,10,0,0,0,6,
2009,Finland,0,0,0,,0,0,0,0,3,0,0,0,0,4,,0,,0,0,0,8,0,0,0,0,0,3,0,,0,0,0,0,0,0,0,,0,,0,0,0,4,0,0,0,0
2009,Spain,0,12,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,7,0,0,,0,,0,0,,0,3,0,0,0
2008,Romania,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,6,0,0,0,0,12,,0,0,0,0,4,,0,1,0,,,0,12,0,0,0,0,0
2008,United Kingdom,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,,0,0,0,0,0,0,0,6,0,,,0,0,0,0,0,0,
2008,Albania,,0,0,,1,0,0,1,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,12,0,0,,7,0,0,0,0,0,0,3,0,,,4,0,0,8,1,0,0
2008,Germany,0,0,0,,0,0,0,0,12,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0
2008,Armenia,2,0,,,0,7,12,6,8,0,10,12,0,0,0,12,12,6,12,0,1,0,8,0,0,1,0,2,,1,12,0,12,0,4,12,8,5,,,5,10,2,0,10,7,0
2008,Bosnia and Herzegovina,0,0,0,,3,0,0,,0,12,0,1,2,0,6,2,0,5,0,0,0,2,0,0,0,5,0,0,,10,7,10,0,0,0,0,0,12,,,10,0,10,7,6,0,0
2008,Israel,4,0,6,,7,4,5,5,2,2,2,0,0,0,8,6,3,3,1,3,0,0,,0,3,0,0,6,,5,3,3,5,0,6,6,10,7,,,3,0,0,1,0,5,0
2008,Finland,0,4,0,,0,0,0,0,0,0,0,0,0,10,,0,0,0,0,0,7,0,0,1,0,0,0,0,,0,0,4,2,0,0,0,0,0,,,0,0,7,0,0,0,0
2008,Croatia,0,0,2,,0,0,0,10,0,,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,2,0,0,,2,0,0,0,3,1,1,0,3,,,8,0,0,3,0,1,0
2008,Poland,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,4
2008,Iceland,0,0,0,,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,,0,4,2,0,0,6,0,,0,0,8,0,7,0,0,0,0,,,0,4,8,0,0,0,6
2008,Turkey,10,0,0,,12,3,10,8,5,0,0,0,4,0,4,10,6,10,0,5,0,0,0,0,0,7,0,0,,0,10,2,0,0,8,2,4,0,,,0,0,0,6,,4,8
2008,Portugal,0,10,0,,0,0,6,0,0,3,0,0,0,0,0,8,0,4,0,0,6,0,0,0,0,0,0,0,,0,5,0,0,,0,0,5,1,,,0,8,0,10,0,3,0
2008,Latvia,0,2,0,,0,0,0,0,0,4,0,3,6,7,0,0,2,0,0,0,4,12,0,,10,0,7,0,,3,0,0,0,8,0,0,0,0,,,0,2,3,0,0,0,10
2008,Sweden,3,0,0,,0,0,0,0,0,0,1,0,8,2,5,0,0,0,0,1,3,0,1,0,1,0,12,0,,0,0,7,0,0,0,0,0,2,,,0,1,,0,0,0,0
2008,Denmark,0,0,0,,0,0,0,0,0,0,0,2,,3,0,0,0,0,0,2,12,1,0,7,2,0,4,0,,0,0,12,0,5,0,0,2,0,,,0,0,5,0,0,0,3
2008,Georgia,0,0,10,,4,6,0,0,0,0,7,4,0,5,0,0,,0,4,0,0,0,2,8,5,0,5,3,,0,0,0,0,1,0,7,0,0,,,0,0,0,0,4,8,0
2008,Ukraine,8,6,5,,10,10,1,3,7,7,6,8,7,4,3,0,10,0,6,6,5,6,10,10,6,4,10,7,,4,0,0,10,12,3,8,0,6,,,2,7,0,0,8,,5
2008,France,0,3,4,,0,0,0,0,0,0,0,0,5,6,2,,0,0,0,0,8,0,0,3,8,0,0,0,,0,0,1,1,0,0,0,0,0,,,0,0,4,0,0,0,2
2008,Azerbaijan,0,7,0,,,8,7,0,3,0,0,10,0,0,0,0,7,1,3,12,0,0,3,4,7,8,0,8,,0,2,0,7,0,2,10,0,0,,,1,0,0,0,12,10,0
2008,Greece,12,8,8,,6,2,8,7,10,5,12,5,3,1,0,3,4,12,,8,0,4,5,0,0,3,2,4,,6,6,0,3,0,12,3,12,8,,,6,3,1,5,7,2,12
2008,Spain,1,12,1,,0,0,4,0,0,0,4,0,1,0,1,5,0,0,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,10,0,0,0,0,,,0,,0,4,3,0,1
2008,Serbia,5,0,3,,2,1,0,12,4,10,5,6,0,0,0,7,0,8,5,7,2,0,0,0,0,10,1,1,,12,8,6,4,0,7,4,0,,,,12,0,6,12,0,0,0
2008,Russia,6,5,12,,8,12,3,4,6,6,8,7,0,12,10,1,8,7,7,10,0,5,12,12,12,6,8,10,,8,1,5,6,6,10,,0,10,,,7,5,0,0,5,12,0
2008,Norway,7,1,7,,5,5,2,2,1,1,0,0,10,8,12,0,5,0,2,4,10,7,7,6,4,0,3,5,,0,4,,8,2,5,5,7,4,,,0,6,12,0,2,6,7
2007,Bosnia and Herzegovina,8,0,1,8,,0,0,,0,10,0,4,7,0,0,1,0,3,0,0,0,0,0,0,0,4,0,0,,7,7,6,0,0,0,0,,8,,,8,0,6,8,10,0,0
2007,Spain,12,0,0,0,,0,3,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,2,0,,4,0,0,0,8,0,0,,0,,,0,,0,5,0,0,0
2007,Belarus,2,0,10,0,,,0,4,1,0,6,2,0,7,0,0,8,0,5,4,4,0,12,8,7,7,10,10,,3,0,0,7,1,1,12,,2,,,0,0,0,0,0,12,0
2007,Ireland,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0
2007,Finland,0,7,0,0,,1,0,0,0,0,0,0,4,6,,0,0,1,0,0,12,0,0,0,5,0,0,0,,0,0,4,0,0,0,0,,0,,,0,0,12,1,0,0,0
2007,Macedonia,3,0,0,1,,0,0,8,10,8,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,,10,0,0,0,0,0,0,,10,,,10,0,0,6,1,0,0
2007,Slovenia,0,0,0,0,,4,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,5,0,,8,0,0,4,3,0,3,,5,,,,3,0,0,0,4,0
2007,Hungary,0,6,0,2,,0,5,0,0,4,0,0,8,4,10,0,5,7,0,,8,5,0,5,4,0,1,0,,0,4,8,2,2,8,0,,12,,,5,0,8,3,0,0,2
2007,Lithuania,0,1,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,,0,0,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,3
2007,Greece,7,0,8,0,,3,8,3,12,0,12,3,1,0,0,3,4,10,,7,5,0,1,0,0,3,0,6,,0,5,0,0,0,10,0,,4,,,0,2,4,4,4,0,10
2007,Georgia,0,0,5,0,,6,6,1,0,2,1,1,0,5,7,0,,0,3,2,0,1,6,6,12,0,0,4,,0,2,0,5,0,0,7,,0,,,2,0,0,0,5,8,0
2007,Sweden,0,2,0,0,,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,,0,0,12,0,0,0,0,,0,,,0,0,,0,0,0,7
2007,France,4,8,2,0,,0,0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,3,0,0,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0
2007,Latvia,0,0,0,0,,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,10,0,,10,0,4,0,,0,3,3,1,0,2,0,,0,,,6,0,0,0,0,0,4
2007,Russia,0,3,12,0,,12,0,2,5,3,7,6,2,12,3,2,7,6,8,6,1,6,8,7,6,5,6,8,,6,0,5,3,4,3,,,7,,,3,4,5,0,8,10,6
2007,Germany,6,5,0,7,,0,0,0,0,0,0,0,5,3,1,0,0,,0,0,2,0,0,0,0,0,0,0,,0,6,0,0,0,0,0,,0,,,0,5,1,7,0,0,1
2007,Serbia,1,0,7,12,,7,7,12,6,12,3,8,6,0,12,8,6,8,4,12,7,4,3,3,0,12,8,5,,12,8,10,8,5,6,5,,,,,12,1,10,12,0,6,0
2007,Ukraine,0,12,6,4,,10,1,5,3,5,4,12,3,8,6,4,10,5,7,3,6,8,10,12,8,2,3,7,,2,1,2,12,12,4,8,,3,,,4,7,3,2,3,,8
2007,United Kingdom,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,
2007,Romania,0,10,0,3,,0,0,0,2,0,5,0,0,0,0,7,0,0,2,8,0,3,7,1,0,0,0,12,,0,0,0,0,7,,1,,0,,,0,12,0,0,2,2,0
2007,Bulgaria,0,0,4,6,,0,4,6,,6,10,7,0,1,5,5,0,4,12,10,0,0,0,2,0,8,7,3,,5,0,0,0,6,5,4,,6,,,7,10,0,0,6,3,5
2007,Turkey,10,0,0,10,,0,12,10,7,0,0,0,10,0,4,12,2,12,0,1,3,0,0,0,0,10,0,1,,1,12,7,0,0,7,2,,0,,,0,0,7,10,,1,12
2007,Armenia,0,0,,5,,5,10,0,8,0,8,10,0,0,0,10,12,2,6,0,0,0,5,0,0,0,0,2,,0,10,0,10,0,0,10,,0,,,0,8,0,0,12,5,0
2007,Moldova,0,4,3,0,,6,0,0,4,0,2,0,0,0,2,0,3,0,10,5,0,2,4,0,2,1,0,,,0,0,1,6,10,12,6,,1,,,1,6,2,0,7,7,0
2006,Switzerland,0,0,0,,,0,0,4,0,0,0,,0,0,0,0,,0,0,,0,0,4,0,0,0,12,0,6,,3,0,0,1,0,0,,,0,,0,0,0,,0,0,0
2006,Moldova,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,,0,1,,0,0,0,0,0,0,0,,0,,0,0,0,3,12,3,,,0,,0,2,0,0,1,0,0
2006,Israel,0,0,0,,,0,0,0,0,0,0,,0,0,0,4,,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
2006,Latvia,0,0,0,,,0,0,0,0,0,0,,0,3,0,0,,0,0,,0,4,0,,8,0,0,0,8,,0,0,0,0,0,1,,,0,,0,0,0,0,0,4,2
2006,Norway,0,0,1,,,1,0,0,0,0,0,,1,0,5,0,,0,2,,4,0,0,6,0,0,0,3,1,,0,,0,0,0,7,,,0,,0,0,2,0,0,3,0
2006,Spain,6,12,0,,,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,,0,,0,0,0,0,0
2006,Malta,1,0,0,,,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
2006,Germany,5,0,0,,,0,1,0,0,0,3,,3,0,0,0,,,0,,0,3,0,3,0,0,0,0,0,,0,1,0,0,0,0,,,0,,0,5,0,7,0,0,5
2006,Denmark,0,0,0,,,0,0,0,0,0,0,,,1,3,0,,0,0,,8,0,0,0,0,0,0,0,0,,0,6,0,0,0,0,,,0,,0,0,8,0,0,0,0
2006,Russia,4,6,12,,,12,3,6,10,7,2,,2,10,12,2,,6,8,,5,5,12,12,12,8,5,10,0,,8,3,10,7,8,,,,5,,4,7,7,0,5,12,1
2006,Macedonia,3,0,7,,,0,0,8,6,8,0,,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,,8,,6,0,0,4,6,0,0
2006,Romania,0,5,3,,,3,10,2,2,7,10,,6,4,7,1,,5,6,,3,5,10,2,1,2,10,12,2,,4,4,3,3,,4,,,2,,4,12,6,1,3,6,6
2006,Bosnia and Herzegovina,12,0,5,,,4,6,,7,12,8,,8,0,10,6,,7,6,,3,2,2,0,4,12,0,5,12,,2,8,4,2,7,6,,,12,,12,1,10,12,12,10,0
2006,Lithuania,0,7,0,,,6,4,0,1,6,6,,7,8,8,0,,1,4,,10,12,3,10,,3,1,4,7,,4,5,8,4,0,5,,,3,,3,4,3,0,0,5,10
2006,United Kingdom,0,2,0,,,0,0,0,0,1,0,,4,2,0,0,,0,0,,0,8,0,1,0,0,3,0,0,,1,2,1,0,0,0,,,0,,0,0,0,0,0,0,
2006,Greece,8,1,8,,,2,10,1,12,0,5,,0,0,1,5,,8,,,0,0,0,0,3,7,8,1,0,,12,0,0,0,10,0,,,6,,0,0,4,5,4,0,7
2006,Finland,0,10,0,,,7,8,7,5,10,7,,12,12,,8,,10,12,,12,10,7,8,10,6,7,6,0,,5,12,12,6,4,8,,,7,,8,10,12,8,7,7,12
2006,Ukraine,0,5,10,,,10,0,5,3,4,1,,0,5,2,0,,0,5,,6,1,6,5,7,5,2,8,2,,6,0,6,12,3,10,,,2,,2,3,1,0,8,,0
2006,France,0,0,2,,,0,0,0,0,0,0,,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
2006,Croatia,0,0,0,,,0,0,12,0,,0,,0,0,0,0,,2,0,,0,0,0,0,0,10,0,0,4,,0,0,0,0,0,0,,,10,,10,0,0,6,2,0,0
2006,Ireland,0,4,3,,,0,0,0,0,2,4,,5,6,4,1,,4,0,,1,,0,4,6,0,4,0,10,,0,7,2,5,2,0,,,0,,1,0,5,3,0,2,8
2006,Sweden,10,8,6,,,5,5,3,0,3,0,,10,7,7,3,,0,0,,7,7,5,7,5,1,6,2,5,,0,10,7,8,5,2,,,1,,7,6,,2,0,6,4
2006,Turkey,7,0,0,,,0,7,10,4,0,12,,0,0,0,12,,12,3,,0,0,1,0,0,4,0,0,0,,0,0,0,0,6,0,,,0,,0,0,0,10,,0,3
2006,Armenia,0,0,,,,8,12,0,8,0,10,,0,0,0,10,,3,10,,0,0,8,0,2,0,0,7,0,,7,0,5,0,1,12,,,0,,0,8,0,0,10,8,0
2005,Hungary,0,6,,0,,2,2,1,5,6,7,,0,3,0,3,,0,2,,6,0,8,3,0,1,0,0,0,,0,0,10,2,8,3,,,6,,0,5,0,0,6,2,0
2005,United Kingdom,0,0,,0,,0,0,0,0,0,5,,0,0,0,0,,0,0,0,0,8,0,0,0,0,4,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,1,0,
2005,Malta,4,0,,5,,5,8,0,0,4,6,,10,4,8,7,,8,8,5,4,10,10,5,2,0,,0,5,,5,10,0,0,2,12,,,0,,1,7,6,3,8,10,10
2005,Romania,5,7,,6,,1,7,2,8,0,8,,3,0,0,5,,0,5,10,5,5,12,0,0,2,7,7,4,,3,6,7,12,,0,,,3,,0,12,2,0,4,0,0
2005,Norway,0,2,,0,,4,3,3,1,0,3,,12,8,12,0,,0,4,0,12,4,1,6,5,0,5,3,0,,1,,8,0,0,0,,,2,,4,3,8,0,0,6,5
2005,Turkey,8,0,,7,,0,10,8,3,0,0,,8,0,0,12,,10,0,0,0,0,0,0,0,4,0,0,0,,12,0,0,0,3,0,,,0,,0,0,0,6,,0,1
2005,Moldova,0,0,,2,,7,1,4,6,1,2,,0,6,0,2,,1,7,4,8,0,4,8,10,5,2,,0,,0,0,3,10,12,10,,,5,,3,4,0,0,7,12,2
2005,Albania,,0,,3,,0,0,5,0,2,0,,0,0,0,1,,0,10,0,0,0,0,0,0,12,0,0,0,,0,0,0,0,0,0,,,8,,0,0,0,10,2,0,0
2005,Cyprus,7,0,,0,,0,0,0,10,0,,,0,0,0,0,,0,12,0,0,0,0,0,0,0,12,0,0,,0,0,0,0,1,0,,,1,,0,0,0,0,0,0,3
2005,Spain,0,12,,0,,0,0,0,0,0,0,,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,8,0,0,,,0,,0,,0,4,0,0,0
2005,Israel,3,8,,1,,8,6,0,0,0,0,,5,1,5,10,,5,0,8,0,6,,2,3,0,8,6,12,,7,5,0,5,7,8,,,0,,0,6,1,1,3,7,7
2005,Serbia and Montenegro,6,0,,12,,3,0,10,4,12,10,,0,0,0,6,,3,6,2,0,0,0,1,0,10,0,1,6,,4,0,0,0,6,6,,,,,10,0,4,12,0,3,0
2005,Denmark,0,3,,0,,0,4,0,0,0,0,,,5,2,0,,6,0,6,10,7,3,4,4,0,3,0,10,,8,12,5,1,4,0,,,0,,0,10,10,0,0,0,8
2005,Sweden,0,0,,0,,0,0,0,0,0,0,,7,0,6,0,,0,0,0,0,0,0,0,0,6,0,5,3,,0,1,0,0,0,0,,,0,,0,2,,0,0,0,0
2005,Macedonia,10,0,,0,,0,0,7,7,8,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,1,,0,0,0,0,0,0,,,7,,5,0,0,2,5,0,0
2005,Ukraine,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,8,0,,0,0,12,7,0,2,,,0,,0,1,0,0,0,,0
2005,Germany,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,2,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
2005,Croatia,2,0,,8,,0,0,12,2,,0,,0,2,1,0,,2,0,7,1,0,0,7,6,8,0,0,7,,2,2,2,0,5,1,,,10,,12,0,0,8,0,8,0
2005,Greece,12,4,,4,,0,12,6,12,5,12,,2,0,3,8,,12,,12,2,2,7,0,1,7,6,4,0,,10,4,1,3,10,4,,,12,,2,8,12,7,12,0,12
2005,Russia,0,0,,0,,12,0,0,0,0,0,,0,7,7,0,,0,0,0,0,0,0,10,7,0,0,10,0,,0,0,0,0,0,,,,0,,0,0,0,0,0,4,0
2005,Bosnia and Herzegovina,0,0,,10,,0,0,,0,10,0,,4,0,0,0,,0,0,0,0,1,0,0,0,3,0,0,0,,6,7,0,0,0,0,,,4,,8,0,7,5,10,0,4
2005,Switzerland,0,1,,0,,10,0,0,0,3,4,,1,12,10,0,,4,3,3,7,3,2,12,8,0,1,0,8,,0,3,6,4,0,7,,,0,,6,0,5,,0,5,0
2005,Latvia,0,10,,0,,6,5,0,0,7,1,,6,10,4,0,,7,1,1,3,12,6,,12,0,10,12,0,,0,8,4,6,0,5,,,0,,7,0,3,0,0,1,6
2005,France,1,5,,0,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,5,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
2004,Spain,0,12,,0,,2,7,0,,0,7,,0,0,0,8,,2,3,,1,0,8,0,0,1,3,,3,,4,0,1,12,5,0,,,0,,0,,0,6,2,0,0
2004,Austria,0,0,,,,0,0,0,,0,0,,0,0,0,4,,0,5,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
2004,Norway,0,0,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,,,0,,0,0,3,0,0,0,0
2004,France,1,7,,0,,0,10,0,,0,0,,0,0,0,,,0,0,,0,0,0,0,0,0,0,,12,,0,0,0,2,0,4,,,0,,0,4,0,0,0,0,0
2004,Serbia and Montenegro,7,2,,12,,7,3,12,,12,10,,7,1,10,10,,10,8,,7,3,7,5,2,10,6,,1,,10,6,5,7,8,10,,,,,12,6,12,12,8,12,3
2004,Malta,3,6,,0,,0,0,1,,2,0,,1,6,0,0,,0,1,,0,6,4,6,4,3,,,0,,0,0,3,1,0,0,,,0,,0,0,0,0,0,1,2
2004,Netherlands,0,0,,0,,0,6,0,,0,0,,0,3,0,0,,0,0,,0,0,0,0,0,0,2,,0,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0
2004,Germany,2,0,,10,,0,0,3,,1,0,,0,2,0,7,,,0,,0,4,0,0,1,0,0,,7,,3,1,6,8,4,0,,,0,,3,12,0,10,5,0,4
